MOVIES,YEAR,GENRE,RATING,VOTES,RunTime,Gross
Cidade Invisível,(2021– ),Crime$ Drama$ Fantasy,7.4,4641,60,
Kidô senshi Gandamu: Senkô no Hasauei,-2021,Animation$ Action$ Drama,6.8,734,95,
Quicksand,-2019,Crime$ Drama$ Mystery,7.5,18397,45,
Mine,(2021– ),Drama$ Mystery,7.8,580,70,
Thomas the Tank Engine & Friends,(1984–2021),Animation$ Adventure$ Comedy,6.6,4153,11,
RH Project,-2021,Documentary$ Crime$ History,7,6171,239,
Sand Castle,-2017,Action$ Drama$ War,6.3,21056,113,
The Courier,-2019,Action$ Crime$ Drama,4.8,8955,99,
Capitani,(2019–2020),Crime$ Drama$ Mystery,6.6,3305,312,
Prime Time,-2021,Drama$ Thriller,5.3,1257,93,
Power Rangers: Dino Fury,-2021,Action$ Adventure$ Comedy,6.7,234,21,
Kari-gurashi no Arietti,-2010,Animation$ Adventure$ Family,7.6,84951,94,$19.20M
Fate/Zero,(2011–2012),Animation$ Action$ Drama,8.3,11162,24,
Yasuke,(2021– ),Animation$ Action$ Adventure,6.2,3807,30,
Summertime,(2020– ),Drama$ Romance,5.5,2111,40,
Jagame Thandhiram,-2021,Action$ Crime$ Drama,6,10209,158,
Gakuen mokushiroku: HIGHSCHOOL OF THE DEAD,-2010,Animation$ Action$ Drama,7.2,11708,24,
Dragons: Race to the Edge,(2015–2018),Animation$ Action$ Adventure,8.3,5220,22,
The Lovebirds,-2020,Action$ Comedy$ Crime,6.1,23179,86,
Dangerous Lies,-2020,Drama$ Mystery$ Thriller,5.3,15360,96,
This Is Pop,(2021– ),Music,6.9,680,44,
White Gold,(2017–2019),Comedy,7.4,9957,30,
The Killer,(I),Action$ Crime$ Drama,,,,
Hagane no renkinjutsushi,-2017,Action$ Adventure$ Fantasy,5.2,19082,135,
Mosul,(I) (2019),Action$ Drama$ War,7.2,23325,86,
Radium Girls,-2018,Drama$ History,6.2,1188,102,
The Crew,(II) (2021),Comedy,6.6,4478,,
The Devil Next Door,-2019,Documentary$ Crime$ History,7.6,11484,229,
Step Up Revolution,-2012,Drama$ Music$ Romance,6.4,54763,99,$35.07M
Damnation,(2017–2018),Crime$ Drama$ Western,7.7,7430,60,
Heartbreak High,(1994–1999),Drama$ Romance,7.8,2870,50,
Bad Day for the Cut,-2017,Action$ Crime$ Drama,6.5,7311,99,
Hustle,(III),Comedy$ Drama$ Sport,,,,
Raketsonyeondan,(2021– ),Comedy$ Drama$ Sport,1.1,25629,80,
The Girl with All the Gifts,-2016,Action$ Adventure$ Drama,6.6,56940,111,
The Letter for the King,(2020– ),Action$ Adventure$ Family,5.9,6661,,
Bir Baskadir,(2020– ),Drama$ Thriller,8.6,23472,49,
Hellsing Ultimate,(2006–2012),Animation$ Action$ Fantasy,8.3,20818,50,
Black Lagoon,-2006,Animation$ Action$ Adventure,8,13031,25,
Kurenai no buta,-1992,Animation$ Adventure$ Comedy,7.7,81880,94,
Fast & Furious Spy Racers,(2019– ),Animation$ Action$ Crime,5.5,1148,23,
Wild Wild Country,-2018,Documentary$ Crime,8.1,26746,403,
AJ and the Queen,-2020,Adventure$ Comedy$ Drama,7.5,7137,52,
The Discovery,(I) (2017),Drama$ Romance$ Sci-Fi,6.3,31299,102,
Young Wallander,(2020– ),Crime$ Drama$ Mystery,6.8,7280,,
Boiseu,(2017–2021),Action$ Crime$ Mystery,7.7,1496,60,
What Keeps You Alive,-2018,Horror$ Thriller,5.7,7489,98,
A Prayer Before Dawn,-2017,Action$ Biography$ Crime,6.9,21815,116,
Go-Toubun no Hanayome,(2019– ),Animation$ Comedy$ Drama,7.6,2691,24,
Midnight Mass,(2021– ),Drama$ Horror$ Mystery,,,40,
Hogar,-2020,Adventure$ Drama$ Thriller,6.4,15329,103,
Our Planet,-2019,Documentary,9.3,36473,403,
Shaman King,(2021– ),Animation$ Action$ Adventure,7.7,412,23,
Cowboy Bebop,(2021– ),Action$ Adventure$ Crime,,,,
Tau,-2018,Sci-Fi$ Thriller,5.8,28732,97,
Isekai Mao to Shokan Shojo no Dorei Majutsu,(2018– ),Animation$ Adventure$ Comedy,7.1,2350,24,
World on Fire,(2019– ),Drama$ War,7.3,4473,57,
Badla,-2019,Crime$ Drama$ Mystery,7.8,24679,118,
El practicante,-2020,Action$ Adventure$ Crime,5.6,10363,94,
DC Super Hero Girls,(2019– ),Animation$ Action$ Adventure,7.1,950,11,
American Murder: The Family Next Door,-2020,Documentary$ Crime,7.2,22404,83,
Requiem,-2018,Drama$ Fantasy$ Mystery,6.5,5813,60,
Dear White People,(2017–2021),Comedy$ Drama,6.2,23061,30,
Cloudy with a Chance of Meatballs 2,-2013,Animation$ Adventure$ Comedy,6.4,94660,95,$119.79M
Gekijouban Violet Evergarden,-2020,Animation$ Drama$ Fantasy,8.5,1755,140,
Then Came You,-2018,Adventure$ Comedy$ Drama,7,10857,97,
Monty Python's Flying Circus,(1969–1974),Comedy,8.8,69552,30,
Somewhere Between,-2017,Drama$ Mystery$ Sci-Fi,6.3,5153,41,
Ascension,-2014,Drama$ Sci-Fi,7.2,17926,231,
Wasp Network,-2019,Crime$ Drama$ Thriller,5.9,9135,127,
Gumihodyeon,(2020– ),Fantasy$ Horror$ Romance,8,2489,70,
Brooklyn's Finest,-2009,Action$ Crime$ Drama,6.7,61994,132,$27.15M
Ride or Die,(III) (2021),Drama$ Romance$ Thriller,5.5,1261,142,
Señora Acero,(2014–2019),Crime$ Drama$ Romance,7.1,309,,
The Guilty,-2021,Action$ Adventure$ Crime,,,90,
Lab Rats,(2012–2016),Action$ Comedy$ Drama,6.6,5125,22,
The Last Days of American Crime,-2020,Action$ Crime$ Drama,3.7,10337,148,
Byeol-e-seo on geu-dae,(2013–2014),Comedy$ Drama$ Fantasy,8.2,10146,60,
Mirrors,(I) (2008),Horror$ Mystery,6.1,103973,110,$30.69M
Earthquake Bird,-2019,Crime$ Drama$ Mystery,5.9,13305,107,
The Stand In,-2020,Comedy$ Drama,4.7,2636,101,
Luchshe$ chem lyudi,(2018–2019),Drama$ Sci-Fi,7.4,7450,52,
Noragami,(2014–2016),Animation$ Action$ Adventure,7.9,12511,24,
Honeymoon,-2014,Drama$ Fantasy$ Horror,5.7,24861,87,$0.01M
Point Blank,-2019,Action$ Crime$ Drama,5.7,13085,86,
Touch of Evil,-1958,Crime$ Drama$ Film-Noir,8,100664,95,$2.24M
Matilda,-2022,Comedy$ Drama$ Family,,,,
To All the Boys: P.S. I Still Love You,-2020,Comedy$ Drama$ Romance,6,32367,101,
True Story,(I) (2015),Biography$ Crime$ Drama,6.3,65679,99,$4.72M
The Salisbury Poisonings,-2020,Drama$ History$ Thriller,7.2,4049,58,
Dorohedoro,(2020– ),Animation$ Action$ Comedy,8.2,6163,25,
Mortel,(2019–2021),Crime$ Drama$ Fantasy,6.6,1175,40,
Planes,-2013,Animation$ Adventure$ Comedy,5.7,43335,91,$90.29M
Kiru ra kiru: KILL la KILL,(2013–2014),Animation$ Action$ Comedy,7.9,11962,25,
Work It,-2020,Comedy$ Music,6.1,10977,93,
The F**k-It List,-2020,Comedy,5.1,5144,103,
Law School,(2021– ),Crime$ Drama$ Mystery,8.2,1201,65,
Sentinelle,-2021,Action$ Crime$ Drama,4.7,6853,80,
Little Evil,-2017,Comedy$ Horror,5.7,19827,94,
Freud,(2020– ),Crime$ History$ Thriller,6.5,10568,55,
Toradora!,(2008–2009),Animation$ Comedy$ Drama,8,12030,24,
Goblin Slayer,(2018– ),Animation$ Action$ Adventure,7.5,5711,30,
Wine Country,-2019,Adventure$ Comedy$ Drama,5.5,19850,103,
Sigeuneol,-2016,Crime$ Drama$ Fantasy,8.6,5077,80,
Shutter,(II) (2004),Horror$ Mystery$ Thriller,7.1,42532,97,
Pooreun Badaui Junsul,(2016–2017),Comedy$ Fantasy$ Romance,8.1,6582,60,
Monarca,(2019–2021),Drama,7.9,2801,43,
Marianne,-2019,Drama$ Horror$ Mystery,7.5,12784,50,
Madame Claude,-2021,Biography$ Crime$ Drama,5.4,2642,112,
Gojira shingyura pointo,(2021– ),Animation$ Action$ Adventure,6.6,1054,24,
Creep 2,-2017,Crime$ Drama$ Horror,6.5,21809,78,
Bap Jal Sajuneun Yeppeun Nuna,-2018,Drama$ Romance,8.1,4330,75,
Omoide no Mânî,-2014,Animation$ Drama$ Family,7.7,35523,103,$0.77M
The One I Love,-2014,Comedy$ Drama$ Romance,7.1,37373,91,$0.51M
Running with the Devil,-2019,Crime$ Drama$ Thriller,5.4,7026,100,
The Circle,(2020– ),Game-Show$ Reality-TV,7.3,5276,48,
Jeepers Creepers 3,-2017,Horror,3.9,19260,100,$2.24M
Avlu,(2018– ),Crime$ Drama,7.2,1377,120,
Love & Anarchy,(2020– ),Comedy$ Drama$ Romance,7.4,6788,30,
Free Rein,(2017–2019),Action$ Adventure$ Comedy,7.3,1798,26,
Tiempos de guerra,-2017,Drama$ Fantasy$ Horror,7.6,2724,70,
Geronimo: An American Legend,-1993,Drama$ History$ Western,6.5,10096,115,$18.64M
Shimmer Lake,-2017,Crime$ Drama$ Mystery,6.3,12857,86,
È stata la mano di Dio,-2021,Drama,,,130,
Wounds,-2019,Drama$ Horror$ Mystery,4,17232,95,
The Immigrant,-2013,Drama$ Romance,6.6,30649,120,$2.01M
Wake Up,(III) (2019),Action$ Crime$ Thriller,5,2995,92,
The Liberator,(2020– ),Animation$ Action$ Drama,7.6,5219,,
The Worst Witch,(2017– ),Family$ Fantasy,7.3,2087,30,
Geunyeoui Sasaenghwal,-2019,Comedy$ Romance,7.7,2222,75,
The Mercy,-2017,Adventure$ Biography$ Drama,6,7898,112,
Step Up All In,-2014,Drama$ Music$ Romance,6,33247,112,$14.90M
The Last Summer,-2019,Comedy$ Romance,5.6,12059,109,
La forêt,-2017,Crime$ Drama,7.2,8878,313,
Animal Crackers,-2017,Animation$ Adventure$ Comedy,5.8,2881,105,
Pacific Rim,(2021– ),Animation$ Action$ Adventure,7.1,3533,24,
Kipo and the Age of Wonderbeasts,-2020,Animation$ Action$ Adventure,8.4,3925,24,
The Upshaws,(2021– ),Comedy,6.9,1810,,
Kadaver,-2020,Drama$ Horror$ Thriller,5.1,8104,86,
Naked,(I) (2017),Comedy$ Fantasy$ Romance,5.4,18249,96,
Let It Snow,-2019,Comedy$ Romance,5.8,18925,92,
Mr. Iglesias,(2019–2020),Comedy,7.1,5988,30,
Parfum,-2018,Drama$ Thriller,7.1,7762,45,
Hilda,(2018–2020),Animation$ Adventure$ Comedy,8.6,8072,24,
Nayattu,-2021,Thriller,8.2,4887,124,
Aunty Donna's Big Ol' House of Fun,(2020– ),Comedy,8,5312,20,
Marauders,-2016,Action$ Crime$ Thriller,5.5,21162,107,
The Woods,-2020,Crime$ Drama$ Mystery,6.5,4702,306,
The K2,-2016,Drama$ Romance$ Thriller,7.8,4433,60,
Greenhouse Academy,(2017–2020),Drama,6.9,5351,25,
I Still See You,-2018,Fantasy$ Horror$ Sci-Fi,5.8,9078,98,
Neko no ongaeshi,-2002,Animation$ Adventure$ Comedy,7.2,51774,75,
El baile de los 41,-2020,Biography$ Drama$ History,6.8,3017,99,
Demain tout commence,-2016,Comedy$ Drama,7.4,24703,118,
Take Me,-2017,Comedy$ Crime$ Mystery,6.1,5088,83,$0.00M
Meteor Garden,(2018– ),Drama$ Romance,8.1,3217,45,
Paranormal,(2020– ),Drama$ Fantasy$ Horror,8.5,69190,45,
IO,-2019,Adventure$ Drama$ Sci-Fi,4.7,32372,96,
Kyle XY,(2006–2009),Drama$ Mystery$ Romance,7.4,28464,60,
Nakitai watashi wa neko o kaburu,-2020,Animation$ Adventure$ Family,6.7,7045,104,
Borgia,(2011–2014),Biography$ Drama$ History,7.8,6257,52,
Un long dimanche de fiançailles,-2004,Drama$ Mystery$ Romance,7.6,71916,133,$6.17M
Dangshini Jamdeun Saie,-2017,Comedy$ Drama$ Fantasy,8.4,5066,30,
Kokuriko-zaka kara,-2011,Animation$ Drama$ Family,7.4,38625,91,$1.00M
Extremely Loud & Incredibly Close,-2011,Adventure$ Drama$ Mystery,6.9,99165,129,$31.85M
Red Riding Hood,-2011,Fantasy$ Horror$ Mystery,5.5,109473,100,$37.66M
Mirai nikki,(2011–2013),Animation$ Action$ Drama,7.6,15313,25,
Tengen toppa gurren lagann,(2007–2008),Animation$ Action$ Adventure,8.3,15693,24,
Mystery Science Theater 3000,(1988–1999),Comedy$ Sci-Fi,8.5,23491,92,
Suite Française,-2014,Drama$ Romance$ Thriller,7,24684,107,
El dragón,(2019–2020),Action$ Adventure$ Drama,7,1611,45,
Ajeeb Daastaans,-2021,Drama$ Romance,6.7,4649,142,
Portlandia,(2011–2018),Comedy,7.8,19065,22,
Tiger King: Murder$ Mayhem and Madness,-2020,Documentary$ Biography$ Crime,7.5,70207,358,
Fatma,(2021– ),Crime$ Drama$ Thriller,7.5,6618,40,
Vampires vs. the Bronx,-2020,Comedy$ Horror,5.6,8618,85,
Get Rich or Die Tryin',-2005,Biography$ Crime$ Drama,5.4,45092,117,$30.98M
Rita,(2012–2020),Comedy$ Drama,8.1,8057,40,
Hit and Run,(I) (2012),Action$ Adventure$ Comedy,6.1,35252,100,$13.75M
Ask 101,(2020– ),Comedy$ Drama$ Romance,7.5,10299,40,
Pagglait,-2021,Comedy$ Drama,6.9,7609,114,
The Girl on the Train,-2021,Crime$ Drama$ Mystery,4.4,7821,120,
Unsolved Mysteries,(2020– ),Documentary$ Crime$ Mystery,7.3,8190,45,
Rocco,-2016,Documentary,5.7,3700,105,
Duck Butter,-2018,Comedy$ Drama$ Romance,5.3,3531,93,$0.01M
Liu lang di qiu,-2019,Action$ Adventure$ Sci-Fi,6,28264,125,$5.88M
Philomena,-2013,Biography$ Comedy$ Drama,7.6,96244,98,$37.71M
Brain on Fire,-2016,Biography$ Drama,6.6,19354,88,
Vexed,(2010–2012),Comedy$ Crime$ Mystery,7.3,3263,60,
Wanderlust,(2018– ),Drama,7.1,4825,60,
Secret Magic Control Agency,-2021,Animation$ Adventure$ Comedy,6.2,2848,103,
T-34,-2018,Action$ War,6.7,10546,139,
Queer Eye,(2018– ),Reality-TV,8.5,16094,45,
Republic of Doyle,(2010–2014),Comedy$ Crime$ Drama,7.4,3553,60,
Naui Ajusshi,-2018,Drama$ Family,9.1,3944,70,
Alvin and the Chipmunks: The Squeakquel,-2009,Animation$ Adventure$ Comedy,4.5,45491,88,$219.61M
Glow Up: Britain's Next Make-Up Star,(2019– ),Reality-TV,6.8,1440,60,
La nuée,-2020,Drama$ Fantasy$ Horror,6.5,338,101,
The Bletchley Circle,(2012–2014),Crime$ Drama$ Mystery,7.9,11331,45,
The Windsors,(2016– ),Comedy,7.1,2383,30,
Alguien tiene que morir,-2020,Crime$ Drama$ Thriller,6.3,3959,149,
In the Name of the King: A Dungeon Siege Tale,-2007,Action$ Adventure$ Fantasy,3.8,46327,127,$4.54M
Dancing Queens,-2021,Comedy$ Drama,5.5,1156,110,
The Little Mermaid,-2018,Adventure$ Drama$ Fantasy,4.3,8546,85,$7.15M
The Spectacular Spider-Man,(2008–2009),Animation$ Action$ Adventure,8.2,11421,23,
The Lost Pirate Kingdom,(2021– ),Documentary$ Adventure$ Drama,6.6,2134,,
Joahamyeon Ullineun,(2019–2021),Comedy$ Drama$ Romance,7.1,3786,50,
Sniper: Ghost Shooter,(2016 Video),Action$ Drama$ Thriller,5.4,3512,99,
Jinsimi Dadda,-2019,Comedy$ Romance,7.7,1942,60,
Miss Bala,-2019,Action$ Crime$ Drama,5.8,10048,104,$15.01M
John Dies at the End,-2012,Comedy$ Fantasy$ Horror,6.4,37007,99,$0.14M
Kengan Ashura,(2019– ),Animation$ Action,8,3836,24,
Passing,(I) (2021),Drama,7,200,98,
Fire with Fire,(II) (2012),Action$ Thriller,5.6,25743,97,
Ki Hwanghoo,(2013–2014),Action$ Drama$ History,8.5,2072,,
No Good Nick,-2019,Comedy$ Family,6,2486,30,
Desperados,-2020,Comedy$ Romance,5.2,9291,105,
My Amanda,-2021,Drama$ Romance,5.7,214,89,
The Week Of,-2018,Comedy,5.2,20005,116,
Scarface,-1932,Action$ Crime$ Drama,7.8,26365,93,
Jugar con Fuego,(2019– ),Drama,5.9,768,,
The Gabby Douglas Story,(2014 TV Movie),Biography$ Drama$ Sport,7,1704,86,
Kate,-2021,Action$ Adventure$ Crime,,,106,
Ibiza,-2018,Comedy$ Romance,5.2,16358,94,
Boss,(2011–2012),Crime$ Drama,8.1,17281,56,
Message from the King,-2016,Action$ Crime$ Drama,6.4,15158,102,
The Prince,(I) (2014),Action$ Thriller,4.6,17952,93,
Day of the Dead: Bloodline,-2017,Action$ Drama$ Horror,3.4,10173,90,
Kingdom,(2012– ),Animation$ Action$ Drama,8.1,900,,
The Kindergarten Teacher,-2018,Drama$ Thriller,6.7,13946,96,
Father of the Year,-2018,Comedy,5.2,10647,94,
W - Du gaeui segye,-2016,Drama$ Fantasy$ Romance,8.1,7644,60,
Final Girl,-2015,Horror$ Thriller,4.7,15269,84,
Spooks: The Greater Good,-2015,Action$ Drama$ Thriller,6.2,21963,104,
El caso Wanninkhof-Carabantes,-2021,Documentary$ Crime$ History,6.5,1357,88,
W/ Bob and David,-2015,Comedy,7.4,3941,30,
Kaguya-hime no monogatari,-2013,Animation$ Adventure$ Drama,8,41510,137,$1.51M
Two Distant Strangers,-2020,Short$ Drama$ Sci-Fi,6.9,12375,32,
See You Yesterday,-2019,Action$ Adventure$ Crime,5.2,10004,84,
ARQ,-2016,Action$ Sci-Fi$ Thriller,6.4,36715,88,
Dumbo,-1941,Animation$ Adventure$ Drama,7.2,124409,64,$1.60M
Yankee,(2019– ),Drama,5.9,566,40,
Resident Evil,,Action$ Horror$ Sci-Fi,,,,
Elite Short Stories: Carla Samuel,-2021,Short$ Drama$ Romance,7,1669,43,
Owari No Seraph,-2015,Animation$ Action$ Adventure,7.5,4197,24,
1899,(2022– ),Drama$ History$ Horror,,,,
Le Petit Prince,-2015,Animation$ Adventure$ Drama,7.7,58668,108,$1.34M
Love is Blind: After the Altar,(2021– ),Reality-TV,5.4,39,45,
Tell Me Who I Am,-2019,Documentary$ Drama$ Mystery,7.6,12328,86,
Anazâ,-2012,Animation$ Drama$ Horror,7.6,12437,300,
Operation Buffalo,-2020,Adventure$ Comedy$ Drama,6.6,551,52,
Tangerine,-2015,Comedy$ Crime$ Drama,7.1,28651,88,$0.70M
Le chalet,(2017–2018),Drama$ Mystery$ Thriller,7,6352,52,
Great Pretender,(2020– ),Animation$ Action$ Adventure,8,3419,23,
Love$ Guaranteed,-2020,Comedy$ Romance,5.6,15183,90,
Sandy Wexler,-2017,Comedy,5.2,15619,130,
Raat Akeli Hai,-2020,Crime$ Drama$ Mystery,7.3,16281,149,
Bitter Daisies,(2018–2020),Drama$ Thriller,7.2,2864,70,
The Starling,-2021,Comedy$ Drama$ Fantasy,,,102,
Survivor,(I) (2015),Action$ Crime$ Thriller,5.6,32250,96,
Top Chef,(2006– ),Game-Show$ Reality-TV,7.6,5774,44,
A Man Apart,-2003,Action$ Crime$ Drama,6.1,46040,109,$26.18M
Znaki,(2018– ),Crime$ Thriller,6.3,1300,,
Love Hard,-2021,Comedy$ Romance,,,,
Beruseruku,(2016–2017),Animation$ Action$ Drama,6.8,4953,24,
Romeo & Juliet,(II) (2013),Drama$ Romance,5.8,11411,118,$1.16M
Think Like a Dog,-2020,Comedy$ Drama$ Family,5.2,1350,91,
The Christmas Chronicles: Part Two,-2020,Adventure$ Comedy$ Family,6,24413,112,
You Get Me,-2017,Crime$ Drama$ Romance,4.7,12119,89,
Aterrados,-2017,Horror,6.5,12989,87,
Edge of Fear,-2018,Action$ Crime$ Thriller,4.4,2652,91,
Equinox,(2020– ),Drama$ Fantasy$ Mystery,6.1,5326,,
Mongol,-2007,Action$ Biography$ Drama,7.2,45408,126,$5.70M
Yi Guyeokui Michin X,(2021– ),Comedy$ Drama$ Romance,7.9,718,30,
Hap and Leonard,(2016–2018),Crime$ Drama$ Mystery,7.7,7034,60,
Bullet Head,-2017,Crime$ Drama$ Thriller,5.4,9317,93,
The Gunman,-2015,Action$ Crime$ Thriller,5.8,39993,115,$10.64M
Winx Club,(2004– ),Animation$ Action$ Adventure,6.2,5202,25,
Odd Squad,(2014– ),Action$ Adventure$ Comedy,6.5,946,27,
Chewing Gum,(2015–2017),Comedy,7.7,8245,23,
Persuasion,-2022,Drama$ Romance,,,,
Bright 2,,Action$ Adventure$ Crime,,,,
Swedish Dicks,(2016–2018),Comedy$ Crime,6.8,3064,30,
Fate/stay night: Unlimited Blade Works,(2014–2015),Animation$ Action$ Fantasy,8,6739,24,
Private Life,-2018,Comedy$ Drama,7.2,17616,123,
The Beyond,-2017,Drama$ Sci-Fi,4.9,5839,103,
Avatar: The Last Airbender,,Action$ Adventure$ Fantasy,,,,
After Porn Ends 2,-2017,Documentary,5.5,2512,90,
Sierra Burgess Is a Loser,-2018,Comedy$ Drama$ Romance,5.8,36624,105,
Yu yu hakusho,(1992–1995),Animation$ Action$ Adventure,8.4,12214,24,
Ingobernable,(2017– ),Crime$ Drama$ Mystery,7.1,2858,40,
Disjointed,(2017–2018),Comedy,6.8,9330,30,
Home Team,,Comedy$ Sport,,,,
Steins;Gate 0,-2018,Animation$ Drama$ Mystery,8.4,6559,30,
Kung Fury,-2015,Short$ Action$ Comedy,8,57319,31,
The Division,,Action$ Adventure$ Drama,,,,
Between,(2015–2016),Drama$ Mystery$ Sci-Fi,6,8647,60,
Gantz: O,-2016,Animation$ Action$ Drama,7.1,13531,95,
Inside Man: Most Wanted,-2019,Action$ Crime$ Thriller,5.6,3439,105,
Ghost Stories,-2020,Horror$ Thriller,4.3,4750,144,
Luckiest Girl Alive,-2022,Drama$ Mystery,,,,
The Get Down,(2016–2017),Drama$ Music$ Musical,8.3,21504,52,
The Last Czars,-2019,Documentary$ Drama$ History,7.3,6983,45,
The Perfect Date,(I) (2019),Comedy$ Romance,5.8,35113,89,
Sergio,-2020,Biography$ Drama$ History,6.1,8858,118,
Yin-Yang Master I,-2020,Action$ Drama$ Fantasy,6.5,4028,132,
Comedians in Cars Getting Coffee,(2012– ),Animation$ Comedy$ Family,8.1,11473,20,
The Keepers,(II) (2017),Documentary$ Crime$ Mystery,8.1,19750,436,
Hache,(2019–2021),Crime$ Drama$ Thriller,6.5,1368,50,
Gokushufudo,(2021– ),Animation$ Action$ Comedy,7.3,2437,16,
World Without End,-2012,Drama$ History$ Romance,7,8271,374,
The Paradise,(2012–2013),Drama,7.7,10883,60,
The Open House,-2018,Horror$ Thriller,3.2,32382,94,
Yeokdoyojeong Gim Bokju,(2016–2017),Comedy$ Romance,8.4,6035,60,
Crouching Tiger$ Hidden Dragon: Sword of Destiny,-2016,Action$ Adventure$ Drama,6.1,18540,96,
All Together Now,-2020,Drama,6.5,3578,92,
Yip Man 3,-2015,Action$ Biography$ Drama,7.1,51648,105,$2.68M
Mugen no jûnin,-2017,Action$ Drama$ Fantasy,6.8,16248,140,$0.15M
Sexy Beasts,(2014– ),Comedy,5.5,53,,
Monster: The Jeffrey Dahmer Story,(2022– ),Biography$ Crime$ Drama,,,,
Irreplaceable You,-2018,Comedy$ Drama$ Romance,6.4,8778,96,
Cocaine Cowboys: The Kings of Miami,-2021,Documentary$ Crime$ History,,,,
Chef's Table,(2015–2019),Documentary,8.5,14082,50,
Kal Hee,-1991,Animation$ Drama$ Romance,7.6,28969,118,$0.45M
First They Killed My Father,-2017,Biography$ Drama$ History,7.2,16871,136,
Hot Girls Wanted: Turned On,-2017,Documentary,6.6,2061,280,
Le chant du loup,-2019,Action$ Adventure$ Sci-Fi,6.9,15211,115,
Extracurricular,-2020,Crime$ Drama,7.7,3538,50,
Hasta el cielo,-2020,Action$ Adventure$ Crime,5.6,2880,121,
True Memoirs of an International Assassin,-2016,Action$ Comedy$ Crime,5.9,21442,98,
Carmen Sandiego,(2019–2021),Animation$ Action$ Adventure,7.9,4796,22,
Plus/Minus,,Drama$ Fantasy,,,,
The New Legends of Monkey,(2018– ),Action$ Adventure$ Comedy,6.5,3894,24,
Bo Burnham: Make Happy,(2016 TV Special),Comedy$ Music,8.4,12350,60,
Kahaani,-2012,Mystery$ Thriller,8.1,59675,122,$1.04M
A Babysitter's Guide to Monster Hunting,-2020,Comedy$ Family$ Fantasy,5.4,3434,98,
Pray Away,-2021,Documentary,6.2,159,101,
Haunted,(2018– ),Horror$ Reality-TV,4.7,2934,24,
Q-Force,(2021– ),Animation$ Action$ Adventure,,,30,
Unbreakable Kimmy Schmidt: Kimmy vs the Reverend,(2020 TV Movie),Adventure$ Comedy$ Mystery,7,4302,80,
Arbitrage,-2012,Drama$ Thriller,6.6,51051,107,$7.92M
A Suitable Boy,(2020– ),Drama$ Romance,5.7,4567,60,
The Innocents,-2018,Drama$ Horror$ Mystery,6.3,5470,60,
Premium Rush,-2012,Action$ Crime$ Thriller,6.5,111533,91,$20.28M
La valla,(2020– ),Drama$ Sci-Fi,6.8,2911,50,
Champions,-2018,Comedy,6.1,3361,30,
Like Father,-2018,Comedy$ Drama,6.1,20183,98,
Pretend It's a City,-2021,Documentary$ Biography$ Comedy,8.1,5915,203,
Ask-i Memnu,(2008–2010),Drama$ Romance,7.4,12276,90,
La vita davanti a sé,-2020,Drama,6.8,12655,94,
Yummy,-2019,Action$ Comedy$ Horror,5.9,4301,88,
My Babysitter's a Vampire,(2011–2012),Action$ Comedy$ Fantasy,7.1,3986,22,
Day Shift,,Comedy$ Fantasy,,,,
Tramps,-2016,Adventure$ Romance,6.5,5016,82,
Unité 42,(2017– ),Crime$ Drama$ Thriller,7,1997,52,
Why Are You Like This?,(2018– ),Comedy,6.5,1142,,
Gedo senki,-2006,Animation$ Adventure$ Fantasy,6.4,37082,115,$0.05M
Gekijouban Bishoujo Senshi Sailor Moon Eternal,-2021,Animation$ Action$ Adventure,7.1,932,160,
Homunculus,-2021,Drama$ Fantasy$ Mystery,5.6,1819,115,
We Have A Ghost,,Adventure$ Family$ Horror,,,,
The Painted Veil,-2006,Drama$ Romance,7.5,90212,125,$8.06M
Enola Holmes 2,,Action$ Adventure$ Crime,,,,
Beirut,-2018,Action$ Crime$ Drama,6.5,20085,110,$5.02M
Teströl és lélekröl,-2017,Drama$ Fantasy$ Mystery,7.6,25551,116,
An Interview with God,-2018,Drama$ Mystery,5.8,3470,97,$1.25M
Sangre en la boca,-2016,Drama$ Sport,5.6,647,97,
Luis Miguel: La Serie,(2018– ),Biography$ Drama$ History,8,3695,60,
Jamtara: Sabka Number Ayega,(2020– ),Crime,7.3,5236,29,
Article 15,-2019,Crime$ Drama$ Mystery,8.2,26537,130,
Return to Sender,(I) (2015),Drama$ Thriller,5.1,12670,92,
Degrassi: Next Class,(2016–2017),Drama$ Romance,6.9,2876,30,
Hoops,-2020,Animation$ Comedy$ Sport,6,4896,25,
Sangsogjadeul,-2013,Comedy$ Drama$ Romance,7.5,8525,55,
O Vendedor de Sonhos,-2016,Drama,5.8,1191,98,
Players,,Comedy$ Romance,,,,
Into the Forest,-2015,Drama$ Thriller,5.8,19853,101,$0.01M
Somebody Feed Phil,(2018– ),Documentary,8.3,3936,60,
Smurfs: The Lost Village,-2017,Animation$ Adventure$ Comedy,6,19549,90,$45.02M
Wheelman,-2017,Action$ Crime$ Thriller,6.4,18749,82,
Lethal Seduction,-2015,Thriller,5.1,824,80,
The Other Side of the Wind,-2018,Drama,6.8,6717,122,
The Indian Detective,-2017,Comedy$ Crime$ Drama,6.5,2906,44,
El ministerio del tiempo,(2015– ),Adventure$ Comedy$ Fantasy,8.2,4623,70,
She's Gotta Have It,(2017–2019),Comedy,6.8,4322,30,
Girlboss,-2017,Comedy,7,16285,26,
