MOVIES,YEAR,GENRE,RATING,VOTES,RunTime,Gross
Resident Evil: Infinite Darkness,(2021– ),Animation$ Action$ Horror,5.8,7128,26,
Reign,(2013–2017),Drama$ Fantasy,7.5,45045,42,
Elementary,(2012–2019),Crime$ Drama$ Mystery,7.9,103707,60,
The Girl in the Spider's Web,-2018,Action$ Crime$ Drama,6.1,43896,115,$14.84M
Kong: Skull Island,-2017,Action$ Adventure$ Fantasy,6.6,294292,118,$168.05M
The Missing,(2014–2016),Crime$ Drama$ Mystery,8.2,23317,60,
Hagane no renkinjutsushi,(2009–2012),Animation$ Action$ Adventure,9.1,134855,24,
Altered Carbon,(2018–2020),Action$ Drama$ Sci-Fi,8,149002,60,
Enterprise,(2001–2005),Action$ Adventure$ Drama,7.5,48148,60,
Black Clover,(2017–2021),Animation$ Action$ Adventure,8.3,13218,24,
Uncut Gems,-2019,Crime$ Drama$ Thriller,7.4,239770,135,
American Crime Story,(2016– ),Biography$ Crime$ Drama,8.4,83137,42,
Bloodline,(2015–2017),Drama$ Thriller,7.9,46111,60,
Revenge,(2011–2015),Drama$ Mystery$ Thriller,7.8,114932,44,
The Revenant,-2015,Action$ Adventure$ Drama,8,732244,156,$183.64M
Z Nation,(2014–2018),Action$ Comedy$ Drama,6.7,34226,44,
Polar,(I) (2019),Action$ Crime$ Drama,6.3,80553,118,
Kim's Convenience,(2016–2021),Comedy,8.2,12443,22,
Grace and Frankie,(2015–2021),Comedy,8.3,41520,30,
The Lord of the Rings: The Two Towers,-2002,Action$ Adventure$ Drama,8.7,1529752,179,$342.55M
Love Is Blind,(2020– ),Reality-TV$ Romance,6.1,5342,48,
Legally Blonde,-2001,,6.3,195752,96,$96.52M
Jessica Jones,(2015–2019),Action$ Crime$ Drama,7.9,198056,56,
Rust Creek,-2018,Crime$ Drama$ Thriller,5.9,9263,108,
American Vandal,(2017–2018),Comedy$ Crime$ Drama,8.2,28093,34,
Cheers,(1982–1993),,7.9,49886,22,
Ocean's Eight,-2018,Action$ Comedy$ Crime,6.3,197909,110,$140.22M
America: The Motion Picture,-2021,Animation$ Action$ Adventure,5.7,4485,98,
That '70s Show,(1998– ),,8,157990,22,
Below Deck Mediterranean,(2016– ),Reality-TV,7.3,1327,43,
Pirates of the Caribbean: Dead Men Tell No Tales,-2017,Action$ Adventure$ Fantasy,6.5,276173,129,$172.56M
Sense8,(2015–2018),Drama$ Mystery$ Sci-Fi,8.3,144032,60,
How to Become a Tyrant,(2021– ),Documentary$ Biography$ History,7.4,3700,,
Dead to Me,(2019– ),Comedy$ Crime$ Drama,8,61944,30,
Narcos: México,(2018– ),,8.4,64838,50,
2001: A Space Odyssey,-1968,,8.3,622998,149,$56.95M
Adventure Time,(2010–2018),Animation$ Action$ Adventure,8.6,81525,11,
Nanatsu no taizai,(2014–2021),Animation$ Action$ Adventure,8,26282,24,
My Unorthodox Life,(2021– ),Reality-TV,5.1,742,,
Slasher,(2016– ),Crime$ Drama$ Horror,6.7,12031,60,
Anne,(2017–2019),,8.7,43433,60,
The Tudors,(2007–2010),Drama$ History$ Romance,8.1,70514,60,
Batman v Superman: Dawn of Justice,-2016,Action$ Adventure$ Sci-Fi,6.4,657423,152,$330.36M
Pose,(2018–2021),,8.6,23179,60,
Cider no yô ni kotoba ga wakiagaru,-2020,Animation$ Drama$ Romance,7,941,87,
News of the World,-2020,Action$ Adventure$ Drama,6.8,69037,118,
Mother!,-2017,Drama$ Horror$ Mystery,6.6,201141,121,$17.80M
Emily in Paris,(2020– ),Comedy$ Drama$ Romance,7,55757,30,
National Lampoon's Animal House,-1978,,7.5,115289,109,$0.20M
The Affair,(2014–2019),,7.9,42129,60,
Honest Thief,-2020,Action$ Crime$ Drama,6,40186,99,
The End of the F***ing World,(2017–2019),Adventure$ Comedy$ Crime,8.1,157802,25,
Midnight in Paris,-2011,Comedy$ Fantasy$ Romance,7.7,399157,94,$56.82M
Lost in Space,(2018– ),Adventure$ Drama$ Family,7.3,76255,60,
Wentworth,(2013–2021),,8.6,18080,45,
After Life,(2019– ),,8.4,91972,30,
The Fresh Prince of Bel-Air,(1990–1996),,7.9,125167,22,
Kill Bill: Vol. 2,-2004,Action$ Crime$ Thriller,8,706053,137,$66.21M
Bates Motel,(2013–2017),Drama$ Horror$ Mystery,8.1,100394,45,
Moneyball,-2011,Biography$ Drama$ Sport,7.6,386263,133,$75.61M
Behind Her Eyes,-2021,Drama$ Mystery$ Thriller,7.2,47174,298,
Biohackers,(2020– ),Drama$ Sci-Fi$ Thriller,6.8,7563,44,
Extraction,-2020,,6.7,174406,116,
The IT Crowd,(2006–2013),Comedy,8.5,138970,25,
Californication,(2007–2014),Comedy$ Drama,8.3,174076,28,
Beastars,(2019– ),Animation$ Crime$ Drama,7.8,7429,23,
3rd Rock from the Sun,(1996–2001),Comedy$ Family$ Sci-Fi,7.7,48780,60,
Big Mouth,(2017– ),Animation$ Comedy$ Romance,7.9,61304,30,
Snowpiercer,-2013,Action$ Drama$ Sci-Fi,7.1,335946,126,$4.56M
Locke & Key,(2020– ),Drama$ Fantasy$ Horror,7.4,47717,48,
300: Rise of an Empire,-2014,Action$ Drama,6.2,286734,102,$106.58M
Kimi no na wa.,-2016,Animation$ Drama$ Fantasy,8.4,217433,106,$5.02M
Travelers,(2016–2018),Drama$ Mystery$ Sci-Fi,8.1,49197,45,
Black Lightning,(2017–2021),Action$ Drama$ Sci-Fi,6.1,23354,43,
Booksmart,-2019,Comedy,7.2,103143,102,$22.68M
The Water Man,(I) (2020),Adventure$ Drama$ Family,5.3,1978,91,
Chesapeake Shores,(2016– ),Drama$ Family,7.5,5407,42,
Oxygène,-2021,Drama$ Fantasy$ Sci-Fi,6.5,27918,100,
Jaws 2,-1978,Adventure$ Horror$ Thriller,5.8,73931,116,$102.92M
Enola Holmes,-2020,Action$ Adventure$ Crime,6.6,145206,123,
Rurôni Kenshin: Sai shûshô - The Final,-2021,Action$ Adventure$ Drama,7.2,4682,138,
Chilling Adventures of Sabrina,(2018–2020),Drama$ Fantasy$ Horror,7.5,82557,60,
Marcella,(2016– ),Crime$ Drama$ Mystery,7.4,26485,45,
Tropic Thunder,-2008,Action$ Comedy$ War,7,391033,107,$110.52M
Freaks and Geeks,(1999–2000),Comedy$ Drama,8.7,133607,44,
iZombie,(2015–2019),Comedy$ Crime$ Drama,7.8,62258,42,
Spirit Untamed,-2021,Animation$ Adventure$ Family,5.4,1741,88,
Poldark,(2015–2019),Drama$ History$ Romance,8.3,27588,60,
Beauty and the Beast,(I) (2017),Family$ Fantasy$ Musical,7.1,284484,129,$504.01M
